label,node,role,port,offered_rate,duration_s,server_ip,interval_s,transfer,transfer_unit,bandwidth,bandwidth_unit,jitter_ms,lost,total,loss_pct,source_file,summary_line
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M,node069,server,5003,,,,0.0-60.0,406,MBytes,56.8,Mbits/sec,0.168,1,289625,0.00035,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   406 MBytes  56.8 Mbits/sec   0.168 ms    1/289625 (0.00035%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M,node069,server,5004,,,,0.0-60.0,96.4,MBytes,13.5,Mbits/sec,0.636,75,68868,0.11,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_150M/node069_iperf_server_p5004.log,[  3]  0.0-60.0 sec  96.4 MBytes  13.5 Mbits/sec   0.636 ms   75/68868 (0.11%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M,node069,server,5003,,,,0.0-60.0,408,MBytes,57.0,Mbits/sec,0.917,2,291059,0.00069,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   408 MBytes  57.0 Mbits/sec   0.917 ms    2/291059 (0.00069%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M,node069,server,5004,,,,0.0-60.0,93.5,MBytes,13.1,Mbits/sec,0.475,68,66775,0.1,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_25M/node069_iperf_server_p5004.log,[  3]  0.0-60.0 sec  93.5 MBytes  13.1 Mbits/sec   0.475 ms   68/66775 (0.1%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M,node069,server,5003,,,,0.0-60.0,410,MBytes,57.3,Mbits/sec,0.539,1,292180,0.00034,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   410 MBytes  57.3 Mbits/sec   0.539 ms    1/292180 (0.00034%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M,node069,server,5004,,,,0.0-60.0,92.2,MBytes,12.9,Mbits/sec,2.859,83,65843,0.13,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_50M/node069_iperf_server_p5004.log,[  3]  0.0-60.0 sec  92.2 MBytes  12.9 Mbits/sec   2.859 ms   83/65843 (0.13%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M,node069,server,5003,,,,0.0-60.0,451,MBytes,63.1,Mbits/sec,0.552,2,321982,0.00062,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   451 MBytes  63.1 Mbits/sec   0.552 ms    2/321982 (0.00062%)
fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M,node069,server,5004,,,,0.0-60.1,37.5,MBytes,5.24,Mbits/sec,2.610,9,26751,0.034,node069/fixed150_node088_unfair_vs_node084_sweep_fixed_node088_150M_sweep_node084_5M/node069_iperf_server_p5004.log,[  3]  0.0-60.1 sec  37.5 MBytes  5.24 Mbits/sec   2.610 ms    9/26751 (0.034%)
fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M,node069,server,5003,,,,0.0-60.0,537,MBytes,75.0,Mbits/sec,0.458,6,382792,0.0016,node069/fixed150_node088_vs_node086_fixed_node088_150M_sweep_node086_5M/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   537 MBytes  75.0 Mbits/sec   0.458 ms    6/382792 (0.0016%)
selfish_vs_baseline_150M_per_sta,node069,server,5003,,,,0.0-60.0,101,MBytes,14.0,Mbits/sec,3.304,75,71767,0.1,node069/selfish_vs_baseline_150M_per_sta/node069_iperf_server_p5003.log,[  3]  0.0-60.0 sec   101 MBytes  14.0 Mbits/sec   3.304 ms   75/71767 (0.1%)
